statefips,year,month,ds_o3_pred
4,2013,6,51.61322307012373
4,2013,7,51.972632540802344
4,2013,8,48.8493127081225
4,2013,9,48.27199003692089
4,2013,10,44.95006335384863
4,2013,11,37.773464963250355
4,2013,12,36.563607172622966
4,2014,1,37.45679277047866
4,2014,2,40.978794086765795
4,2014,3,50.188006286544415
4,2014,4,55.282435485476704
4,2014,5,56.38059371587314
4,2014,6,52.30328575772691
4,2014,7,49.95353743448445
4,2014,8,48.95324776188621
4,2014,9,43.133771531436366
4,2014,10,44.440682879502226
4,2014,11,39.525023387594544
4,2014,12,32.60256086405486
5,2011,1,31.085658946230886
5,2011,2,35.63430227637676
5,2011,3,38.37888432058685
5,2011,4,43.574670832209456
5,2011,5,42.138284345271735
5,2011,6,46.86793427147789
5,2011,7,49.81681767595337
5,2011,8,52.54783178908121
5,2011,9,44.48737685364367
5,2011,10,44.45254907013422
5,2011,11,32.568343766258984
5,2011,12,27.737310553541338
5,2012,1,30.74906016253988
5,2012,2,33.773784282660195
5,2012,3,41.38882021324312
5,2012,4,44.402781017951106
5,2012,5,49.76513311807899
5,2012,6,53.39332430365821
5,2012,7,47.9414453220558
5,2012,8,51.88009158181667
5,2012,9,43.98283855347436
5,2012,10,38.35769548006833
5,2012,11,35.56014773959345
5,2012,12,30.128504709610315
5,2013,1,30.199164709280915
5,2013,2,36.995704794620345
5,2013,3,43.306682760863694
5,2013,4,43.74087925672695
5,2013,5,42.40666180834466
5,2013,6,43.46693673198458
5,2013,7,44.68497640274967
5,2013,8,44.47084838198173
5,2013,9,48.37007679254468
5,2013,10,31.704490682423955
5,2013,11,29.881729817457618
5,2013,12,28.335613389591135
5,2014,1,35.223146551060914
5,2014,2,36.294345154584846
5,2014,3,42.17762034048308
5,2014,4,45.797246901202136
5,2014,5,42.372361422383484
5,2014,6,33.07965718651316
5,2014,7,38.75571706749633
5,2014,8,40.529920544622186
5,2014,9,36.51663185942393
5,2014,10,35.59357338034197
5,2014,11,32.06255368625759
5,2014,12,20.985447546022627
6,2011,1,24.003349355628778
6,2011,2,36.051582565209024
6,2011,3,39.19763280673293
6,2011,4,44.301049618192884
6,2011,5,48.301759936599716
6,2011,6,45.99847403847267
6,2011,7,43.7522821088388
6,2011,8,47.531428669126065
6,2011,9,48.655765792745385
6,2011,10,39.80051510847182
6,2011,11,29.490075171174954
6,2011,12,24.88050477214384
6,2012,1,26.1940728733501
6,2012,2,34.42863115623686
6,2012,3,40.277848028445725
6,2012,4,43.69897248105796
6,2012,5,48.80239000957503
6,2012,6,43.753816552860805
6,2012,7,45.80660448882475
6,2012,8,48.07205320456953
6,2012,9,47.9939529737902
6,2012,10,38.79121617157843
6,2012,11,31.01564960407198
6,2012,12,28.477916883372643
6,2013,1,28.00238591987336
6,2013,2,35.613790414069335
6,2013,3,40.35143652224617
6,2013,4,44.22916318093121
6,2013,5,46.124473199410936
6,2013,6,40.67728569655217
6,2013,7,44.64740712344778
6,2013,8,41.97025599609186
6,2013,9,41.58510607870326
6,2013,10,40.06065837274978
6,2013,11,32.64814205108887
6,2013,12,27.72488104797063
6,2014,1,29.278521590464667
6,2014,2,33.68753375246355
6,2014,3,40.728190822682855
6,2014,4,46.60428740753857
6,2014,5,47.13447357444897
6,2014,6,44.11294309664429
6,2014,7,42.93743290906617
6,2014,8,44.22297018996073
6,2014,9,44.240949769276995
6,2014,10,43.23955497340748
6,2014,11,32.46938226618652
6,2014,12,27.55444528746667
8,2011,1,36.48446007433273
8,2011,2,41.810232720132184
8,2011,3,47.917153126830435
8,2011,4,50.75159567831756
8,2011,5,51.16291115386008
8,2011,6,58.91304054308004
8,2011,7,60.662763124351244
8,2011,8,59.59311877667987
8,2011,9,46.8497999524726
8,2011,10,41.253034490525295
8,2011,11,35.794904194577306
8,2011,12,31.90697844708988
8,2012,1,34.34963340007905
8,2012,2,40.14557883785289
8,2012,3,48.65560111951239
8,2012,4,55.35362096854406
8,2012,5,58.40820820816664
8,2012,6,57.18402343713654
8,2012,7,61.79635493272762
8,2012,8,58.9294627380168
8,2012,9,49.469988262104415
8,2012,10,38.21012525955093
8,2012,11,36.063913564380314
8,2012,12,35.99712893834904
8,2013,1,35.74633456152202
8,2013,2,41.981925245260435
8,2013,3,47.575878995443
8,2013,4,49.48521407488979
8,2013,5,55.2730499311431
8,2013,6,55.856866928877075
8,2013,7,58.46489431559085
8,2013,8,55.6800402804341
8,2013,9,46.03514923634679
8,2013,10,38.24607269022776
8,2013,11,35.534031232060265
8,2013,12,34.2359236590692
8,2014,1,37.95685114513852
8,2014,2,39.065355432333874
8,2014,3,45.87621415860221
8,2014,4,51.84296748451197
8,2014,5,52.359266364087205
8,2014,6,53.768357448130956
8,2014,7,52.96595958915519
8,2014,8,50.387574825081046
8,2014,9,44.357352679256316
8,2014,10,40.55544144842934
8,2014,11,35.79091273122713
8,2014,12,30.820090978984357
9,2011,1,28.037429374851563
9,2011,2,35.34908158185331
9,2011,3,41.155016098083344
9,2011,4,43.00876504204971
9,2011,5,41.416315726780404
9,2011,6,47.22912969520395
9,2011,7,51.63511010235928
9,2011,8,42.26068930652495
9,2011,9,36.95753931900165
9,2011,10,30.31240434880719
9,2011,11,29.153344504826208
9,2011,12,24.92554398197902
9,2012,1,24.351469750085506
9,2012,2,32.27951074267065
9,2012,3,37.48855425967005
9,2012,4,47.780431870074324
9,2012,5,44.18722792811387
9,2012,6,47.631210569840825
9,2012,7,51.61398896582329
9,2012,8,52.756797419019485
9,2012,9,38.55221900608426
9,2012,10,29.551337881584267
9,2012,11,27.257018646127573
9,2012,12,26.859635097194843
9,2013,1,30.377979772872962
9,2013,2,35.19742193322425
9,2013,3,41.9174958519135
9,2013,4,48.52920272535608
9,2013,5,46.27462376681363
9,2013,6,51.079776175864666
9,2013,7,46.598954386126586
9,2013,8,44.851254886620346
9,2013,9,39.78975632138713
9,2013,10,32.57763837893672
9,2013,11,30.57271576323637
9,2013,12,24.581313224678603
9,2014,1,28.293811664105704
9,2014,2,35.58141363930422
9,2014,3,40.3924147514857
9,2014,4,46.30015557074396
9,2014,5,45.41548420877652
9,2014,6,44.27498042491402
9,2014,7,50.85184227233121
9,2014,8,43.43693465216183
9,2014,9,38.94272074496087
9,2014,10,29.919428939088146
9,2014,11,29.026119896491764
9,2014,12,25.64423192670423
10,2011,1,28.669346336226646
10,2011,2,37.81883103463594
10,2011,3,40.4167091531883
10,2011,4,43.3818893908951
10,2011,5,47.395872899723464
10,2011,6,58.28457947935526
10,2011,7,60.978448118829704
10,2011,8,47.31586209947786
10,2011,9,33.59062592645605
10,2011,10,30.380626051012754
10,2011,11,29.972229452996732
10,2011,12,24.821884090098504
10,2012,1,27.46614313332647
10,2012,2,32.116500257049466
10,2012,3,40.32801245570386
10,2012,4,47.9146646323752
10,2012,5,46.46879442326871
10,2012,6,55.17217151982683
10,2012,7,58.19547797440621
10,2012,8,53.1689435699663
10,2012,9,41.52562756497913
10,2012,10,33.013850120013764
10,2012,11,27.110655129521795
10,2012,12,25.339834618778877
10,2013,1,27.52270189230605
10,2013,2,33.02506130182085
10,2013,3,40.22747598916123
10,2013,4,49.14838709904718
10,2013,5,46.176737846412436
10,2013,6,45.687464011836624
10,2013,7,42.34670047419109
10,2013,8,43.5863052493936
10,2013,9,41.96681690092136
10,2013,10,35.14985608204507
10,2013,11,30.458066228457366
10,2013,12,27.197406673226023
10,2014,1,29.082391261152864
10,2014,2,35.70369346586732
10,2014,3,40.26600643000808
10,2014,4,47.84716406917811
10,2014,5,47.521271927600395
10,2014,6,47.76930508463225
10,2014,7,47.39604234720867
10,2014,8,45.905973880436946
10,2014,9,37.803831626872736
10,2014,10,33.01506522854205
10,2014,11,29.989466487613328
10,2014,12,23.566251703467017
11,2011,1,25.52059972363176
11,2011,2,35.01651934497207
11,2011,3,39.876595401906016
11,2011,4,42.362414511900425
11,2011,5,48.98633709244909
11,2011,6,59.041842342271885
11,2011,7,63.62722013203781
11,2011,8,50.558710094791856
11,2011,9,33.59031401609794
11,2011,10,26.697106455306916
11,2011,11,28.526350284171322
11,2011,12,21.326872294994285
11,2012,1,24.319846063906358
11,2012,2,30.631380428205862
11,2012,3,39.90351500644031
11,2012,4,47.883860563278674
11,2012,5,48.28153035839551
11,2012,6,57.0310127954828
11,2012,7,57.90002947751396
11,2012,8,56.88573343925867
11,2012,9,42.31302363945595
11,2012,10,29.860448014072965
11,2012,11,26.223126459836568
11,2012,12,21.0829942473012
11,2013,1,24.42039569808592
11,2013,2,28.519262399687065
11,2013,3,41.64114316943417
11,2013,4,49.620579556209364
11,2013,5,46.354895294961935
11,2013,6,46.1883360161115
11,2013,7,43.43576076009987
11,2013,8,46.078902470761484
11,2013,9,43.77220033622949
11,2013,10,31.29669107055187
11,2013,11,26.329960226990163
11,2013,12,22.1673734927971
11,2014,1,26.563339458264547
11,2014,2,31.38683386712215
11,2014,3,36.41110796456764
11,2014,4,46.26987026671011
11,2014,5,48.68374660000406
11,2014,6,50.61784663319146
11,2014,7,49.15640495331993
11,2014,8,47.605253839615365
11,2014,9,37.488526437912526
11,2014,10,31.98308923801793
11,2014,11,27.49486979072666
11,2014,12,19.827372860904212
12,2011,1,38.98937087076615
12,2011,2,39.013860065648245
12,2011,3,46.65424140612746
12,2011,4,43.49971409555805
12,2011,5,47.90926216037422
12,2011,6,38.669957860020624
12,2011,7,29.650148914842394
12,2011,8,33.68802415682365
12,2011,9,34.10802442758352
12,2011,10,39.171185890837926
12,2011,11,36.372580306978854
12,2011,12,35.099149458212736
12,2012,1,36.77834406459782
12,2012,2,35.526706657964475
12,2012,3,42.28361962711259
12,2012,4,49.45940582267168
12,2012,5,41.01696343432162
12,2012,6,36.1679989618293
12,2012,7,30.762295684301666
12,2012,8,28.597860330669196
12,2012,9,33.139276984969534
12,2012,10,36.180976962629764
12,2012,11,39.99125102409872
12,2012,12,34.234291426205814
12,2013,1,35.4724139178123
12,2013,2,40.04774930475441
12,2013,3,49.323067374497086
12,2013,4,40.64349039861049
12,2013,5,42.484322949227604
12,2013,6,28.64594588723392
12,2013,7,27.487328393272815
12,2013,8,28.828064336795773
12,2013,9,32.16455760958194
12,2013,10,36.51086304341037
12,2013,11,34.82861833952469
12,2013,12,32.0629838946776
12,2014,1,34.08303304881049
12,2014,2,34.35293641628759
12,2014,3,43.81201553080647
12,2014,4,42.612193408159506
12,2014,5,45.65401969018968
