statefips,year,month,ds_pm_pred
1,2011,1,9.975819516304927
1,2011,2,10.970783958212495
1,2011,3,10.80973308267488
1,2011,4,8.937864507152707
1,2011,5,11.590263790865995
1,2011,6,14.790409412387778
1,2011,7,12.250214375502006
1,2011,8,13.389863903940888
1,2011,9,10.401058311586436
1,2011,10,9.37522357720859
1,2011,11,7.302729868574341
1,2011,12,8.574510760997548
1,2012,1,8.524008412427154
1,2012,2,8.825725447060659
1,2012,3,9.617107749420343
1,2012,4,9.478354638908941
1,2012,5,12.031565046747811
1,2012,6,11.524554654905904
1,2012,7,11.605715210514674
1,2012,8,10.863021979411139
1,2012,9,10.016637902946032
1,2012,10,9.245349292431639
1,2012,11,12.621897774643392
1,2012,12,8.792409884550013
1,2013,1,10.231750877864593
1,2013,2,8.055826717763784
1,2013,3,9.775571992165691
1,2013,4,8.504836925091647
1,2013,5,8.942873057419597
1,2013,6,10.57302862638188
1,2013,7,9.17775699474636
1,2013,8,11.304786219719848
1,2013,9,12.68266071525477
1,2013,10,10.358153674542677
1,2013,11,9.016196244007407
1,2013,12,10.346829252901252
1,2014,1,9.155275062592917
1,2014,2,10.78231206839076
1,2014,3,11.900847162177147
1,2014,4,9.48023412631299
1,2014,5,10.522287202196983
1,2014,6,11.144661098181114
1,2014,7,12.738388656255808
1,2014,8,13.292077979784647
1,2014,9,9.51013070037091
1,2014,10,9.71872528870788
1,2014,11,10.719945189402912
1,2014,12,10.760003989279332
4,2011,1,9.305660462577812
4,2011,2,8.248048304773883
4,2011,3,7.4937264226771045
4,2011,4,6.974863045341681
4,2011,5,7.333485492046031
4,2011,6,8.313736537488309
4,2011,7,8.425717159911045
4,2011,8,7.613990795557102
4,2011,9,7.694298653177343
4,2011,10,6.81943050425012
4,2011,11,7.052589384005224
4,2011,12,9.52902377093119
4,2012,1,6.868904631189583
4,2012,2,5.790441681663003
4,2012,3,5.76528045439325
4,2012,4,5.7508104934217465
4,2012,5,7.349330345938505
4,2012,6,6.598202829834902
4,2012,7,6.449986295295059
4,2012,8,6.1181844296165275
4,2012,9,6.137078899877889
4,2012,10,5.5877072699041905
4,2012,11,6.791049211744517
4,2012,12,6.762530522435896
4,2013,1,7.5302810994487475
4,2013,2,5.1720749655843665
4,2013,3,5.6689465414605795
4,2013,4,5.045343815011905
4,2013,5,5.626515754732443
4,2013,6,6.156707320245076
4,2013,7,6.042847262265821
4,2013,8,5.360403304338603
4,2013,9,4.865039652572216
4,2013,10,4.901089233258568
4,2013,11,5.328806395913482
4,2013,12,7.191960333052497
4,2014,1,8.032545814094549
4,2014,2,6.4811340320257464
4,2014,3,5.928527888160477
4,2014,4,5.894877399266164
4,2014,5,6.736470365541322
4,2014,6,6.094250516198351
4,2014,7,5.7018091459558145
4,2014,8,4.450336931193125
4,2014,9,4.272130599912306
4,2014,10,5.356288352213415
4,2014,11,6.387499193298992
4,2014,12,8.140174812730761
5,2011,1,12.159671039777587
5,2011,2,9.698699083451217
5,2011,3,11.303273663766502
5,2011,4,9.320487420775162
5,2011,5,9.638208718703279
5,2011,6,14.380411765547247
5,2011,7,12.918156257775394
5,2011,8,12.039251255139542
5,2011,9,9.91761188834535
5,2011,10,9.407096841638912
5,2011,11,7.712157383015425
5,2011,12,8.968179075643478
5,2012,1,9.07356669015625
5,2012,2,8.890823149304449
5,2012,3,8.42527763945818
5,2012,4,8.331540895145727
5,2012,5,10.970267777453058
5,2012,6,11.053473718218688
5,2012,7,11.337516085844005
5,2012,8,10.20861248726313
5,2012,9,10.256778818742045
5,2012,10,9.088406517200868
5,2012,11,10.785770981762699
5,2012,12,9.453995482336788
5,2013,1,9.342300415838078
5,2013,2,8.393894997976538
5,2013,3,8.595893643345399
5,2013,4,8.233252731418773
5,2013,5,8.07286221369276
5,2013,6,11.106753002309254
5,2013,7,10.60698073047903
